id	filename	md5	size	state
afecdda2-735c-4304-a087-ef917ad9cd5a	fc06a930-e3a1-4775-a126-610a531c655b.htseq.counts.gz	bd50e8e9893b88ec77741364390cc75e	254574	live
4963b9af-7d7b-42cd-b057-2f894639e59f	46fd54e8-5ab7-43f1-bb88-01a163ff121f.htseq.counts.gz	61996d18f3118a7e6217bf59e091ae52	252706	live
d9249d25-d852-4008-a71e-dd9be6cb68e9	fbdb830c-2f70-45f5-a2d6-2d8317301af3.htseq.counts.gz	ff06ba6ee5c0d6b9875310f592c5b9ff	243981	live
be2d52c8-eb14-4b45-a65b-c1bdd6f5c4c2	4696ce44-29bf-41ea-b866-ddb17c376e94.htseq.counts.gz	df765a8548dfde77b66ab6c75c0c29c5	252317	live
42b8d463-6209-4ea0-bb01-8023a1302fa0	b6a2c03a-c8ad-41e9-8a19-8f5ac53cae9f.htseq.counts.gz	0c15310e95c74d1cef3f2b00cb29a33c	248751	live
10d08172-48d2-49e7-b760-721163492cc1	c1071bcd-5a0c-4e09-a578-fc4b6dbe26ad.htseq.counts.gz	bab0c7ec99e116bda60ed53f9172adaf	241180	live
8e06ea1c-dbca-4b01-8f00-e4259507a77a	04df2e2a-04c6-4a8d-9bf3-b7a7a075101e.htseq.counts.gz	2ddac17e810ae67a50a5bb2953044135	244236	live
42994602-7f8d-4d05-a191-9bcec686aaf7	de26b3ba-4ca2-4c78-b603-4eb240315148.htseq.counts.gz	8d88c044f885879491c35622c7ac1d3d	249278	live
494626b6-541d-417f-8ad0-1c4c44e25bef	99939497-52b7-4049-b221-12ff3332b634.htseq.counts.gz	2b2dc24dc2e20cd67b072ca649ef5b66	252959	live
1ace0df3-9837-467e-85de-c938efda8fc8	4082f7d5-5656-476a-9aaf-36f7cea0ac55.htseq.counts.gz	032c57cfb81002278f8441799da94792	251691	live
